# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.601744454    6.720124838    6.838781715
    0.060000000    6.601293182    6.719621191    6.838291966
    0.070000000    6.600783521    6.719052409    6.837738851
    0.080000000    6.600219014    6.718422455    6.837126218
    0.090000000    6.599602097    6.717734058    6.836456708
    0.100000000    6.598934452    6.716989108    6.835732150
    0.110000000    6.598217262    6.716188938    6.834953830
    0.120000000    6.597451379    6.715334511    6.834122670
    0.130000000    6.596637430    6.714426541    6.833239357
    0.140000000    6.595775898    6.713465581    6.832304411
    0.150000000    6.594867160    6.712452068    6.831318247
    0.160000000    6.593911527    6.711386363    6.830281202
    0.170000000    6.592909260    6.710268775    6.829193561
    0.180000000    6.591860588    6.709099578    6.828055575
    0.190000000    6.590765717    6.707879018    6.826867469
    0.200000000    6.589624837    6.706607326    6.825629451
    0.210000000    6.588438127    6.705284722    6.824341717
    0.220000000    6.587205760    6.703911418    6.823004457
    0.230000000    6.585927903    6.702487621    6.821617854
    0.240000000    6.584604722    6.701013539    6.820182091
    0.250000000    6.583236381    6.699489376    6.818697348
    0.260000000    6.581823046    6.697915337    6.817163806
    0.270000000    6.580364881    6.696291633    6.815581648
    0.280000000    6.578862054    6.694618471    6.813951057
    0.290000000    6.577314734    6.692896066    6.812272220
    0.300000000    6.575723093    6.691124633    6.810545324
    0.310000000    6.574087305    6.689304392    6.808770563
    0.320000000    6.572407547    6.687435565    6.806948131
    0.330000000    6.570683999    6.685518381    6.805078225
    0.340000000    6.568916844    6.683553070    6.803161048
    0.350000000    6.567106269    6.681539866    6.801196805
    0.360000000    6.565252462    6.679479009    6.799185704
    0.370000000    6.563355616    6.677370741    6.797127957
    0.380000000    6.561415928    6.675215309    6.795023780
    0.390000000    6.559433597    6.673012964    6.792873392
    0.400000000    6.557408824    6.670763959    6.790677016
    0.410000000    6.555341815    6.668468554    6.788434878
    0.420000000    6.553232779    6.666127011    6.786147208
    0.430000000    6.551081927    6.663739596    6.783814239
    0.440000000    6.548889474    6.661306577    6.781436207
    0.450000000    6.546655638    6.658828229    6.779013353
    0.460000000    6.544380640    6.656304828    6.776545918
    0.470000000    6.542064702    6.653736654    6.774034150
    0.480000000    6.539708052    6.651123990    6.771478298
    0.490000000    6.537310918    6.648467124    6.768878614
    0.500000000    6.534873532    6.645766344    6.766235353
