# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.782805871   17.797440953   17.822201188
    0.050000000    6.745908937    6.864518847    6.980916049
    0.060000000    6.746168317    6.864808374    6.981197539
    0.070000000    6.746474926    6.865150629    6.981530283
    0.080000000    6.746828796    6.865545655    6.981914319
    0.090000000    6.747229966    6.865993502    6.982349689
    0.100000000    6.747678482    6.866494227    6.982836443
    0.110000000    6.748174392    6.867047893    6.983374635
    0.120000000    6.748717752    6.867654571    6.983964326
    0.130000000    6.749308621    6.868314336    6.984605581
    0.140000000    6.749947066    6.869027275    6.985298473
    0.150000000    6.750633156    6.869793476    6.986043080
    0.160000000    6.751366970    6.870613039    6.986839486
    0.170000000    6.752148587    6.871486068    6.987687782
    0.180000000    6.752978096    6.872412674    6.988588062
    0.190000000    6.753855590    6.873392976    6.989540430
    0.200000000    6.754781166    6.874427101    6.990544993
    0.210000000    6.755754928    6.875515182    6.991601865
    0.220000000    6.756776986    6.876657358    6.992711168
    0.230000000    6.757847455    6.877853779    6.993873028
    0.240000000    6.758966456    6.879104598    6.995087578
    0.250000000    6.760134115    6.880409979    6.996354957
    0.260000000    6.761350565    6.881770091    6.997675311
    0.270000000    6.762615945    6.883185114    6.999048792
    0.280000000    6.763930398    6.884655231    7.000475560
    0.290000000    6.765294074    6.886180637    7.001955779
    0.300000000    6.766707131    6.887761532    7.003489621
    0.310000000    6.768169730    6.889398125    7.005077266
    0.320000000    6.769682040    6.891090635    7.006718899
    0.330000000    6.771244237    6.892839286    7.008414712
    0.340000000    6.772856501    6.894644312    7.010164905
    0.350000000    6.774519019    6.896505956    7.011969685
    0.360000000    6.776231987    6.898424468    7.013829264
    0.370000000    6.777995605    6.900400107    7.015743865
    0.380000000    6.779810080    6.902433142    7.017713715
    0.390000000    6.781675628    6.904523849    7.019739051
    0.400000000    6.783592468    6.906672516    7.021820115
    0.410000000    6.785560829    6.908879437    7.023957159
    0.420000000    6.787580947    6.911144917    7.026150441
    0.430000000    6.789653063    6.913469271    7.028400228
    0.440000000    6.791777427    6.915852822    7.030706795
    0.450000000    6.793954297    6.918295905    7.033070425
    0.460000000    6.796183938    6.920798863    7.035491408
    0.470000000    6.798466620    6.923362050    7.037970045
    0.480000000    6.800802625    6.925985832    7.040506643
    0.490000000    6.803192241    6.928670582    7.043101520
    0.500000000    6.805635763    6.931416688    7.045755001
    0.510000000    6.808133497    6.934224546    7.048467420
    0.520000000    6.810685754    6.937094565    7.051239122
    0.530000000    6.813292856    6.940027163    7.054070460
    0.540000000    6.815955132    6.943022773    7.056961796
    0.550000000    6.818672922    6.946081838    7.059913503
    0.560000000    6.821446573    6.949204814    7.062925963
    0.570000000    6.824276442    6.952392168    7.065999569
    0.580000000    6.827162895    6.955644382    7.069134723
    0.590000000    6.830106308    6.958961948    7.072331839
    0.600000000    6.833107066    6.962345375    7.075591340
    0.610000000    6.836165565    6.965795184    7.078913660
    0.620000000    6.839282210    6.969311907    7.082299247
