# Ecut(Ry)	VBM(eV)		CBM(eV)		Gap(eV)
20		10.7883		11.5011		.7128
30		10.5450		11.8041		1.2591
40		10.0556		11.8217		1.7661
50		9.8879		11.8066		1.9187
60		9.8803		11.8061		1.9258
70		9.8658		11.8053		1.9395
80		9.8630		11.8052		1.9422
90		9.8626		11.8052		1.9426
100		9.8615		11.8051		1.9436
