# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001363235    0.001375135    0.001403389
    0.060000000    0.001636304    0.001650598    0.001684488
    0.070000000    0.001909604    0.001926300    0.001965819
    0.080000000    0.002183174    0.002202280    0.002247418
    0.090000000    0.002457052    0.002478579    0.002529326
    0.100000000    0.002731277    0.002755237    0.002811580
    0.110000000    0.003005890    0.003032294    0.003094221
    0.120000000    0.003280929    0.003309792    0.003377288
    0.130000000    0.003556434    0.003587772    0.003660820
    0.140000000    0.003832445    0.003866275    0.003944857
    0.150000000    0.004109002    0.004145342    0.004229440
    0.160000000    0.004386146    0.004425016    0.004514609
    0.170000000    0.004663918    0.004705338    0.004800404
    0.180000000    0.004942359    0.004986353    0.005086868
    0.190000000    0.005221510    0.005268102    0.005374040
    0.200000000    0.005501414    0.005550629    0.005661964
    0.210000000    0.005782113    0.005833979    0.005950682
    0.220000000    0.006063650    0.006118195    0.006240235
    0.230000000    0.006346068    0.006403322    0.006530668
    0.240000000    0.006629411    0.006689407    0.006822024
    0.250000000    0.006913723    0.006976495    0.007114348
    0.260000000    0.007199050    0.007264633    0.007407683
    0.270000000    0.007485436    0.007553868    0.007702076
    0.280000000    0.007772928    0.007844248    0.007997571
    0.290000000    0.008061574    0.008135822    0.008294217
    0.300000000    0.008351419    0.008428639    0.008592060
    0.310000000    0.008642512    0.008722750    0.008891147
    0.320000000    0.008934903    0.009018204    0.009191528
    0.330000000    0.009228640    0.009315055    0.009493251
    0.340000000    0.009523775    0.009613354    0.009796368
    0.350000000    0.009820359    0.009913156    0.010100928
    0.360000000    0.010118443    0.010214514    0.010406985
    0.370000000    0.010418081    0.010517485    0.010714590
    0.380000000    0.010719327    0.010822124    0.011023797
    0.390000000    0.011022237    0.011128490    0.011334661
    0.400000000    0.011326865    0.011436642    0.011647238
    0.410000000    0.011633270    0.011746639    0.011961584
    0.420000000    0.011941510    0.012058542    0.012277757
    0.430000000    0.012251644    0.012372414    0.012595816
    0.440000000    0.012563734    0.012688319    0.012915822
    0.450000000    0.012877840    0.013006323    0.013237836
    0.460000000    0.013194027    0.013326491    0.013561921
    0.470000000    0.013512360    0.013648892    0.013888140
    0.480000000    0.013832904    0.013973596    0.014216560
    0.490000000    0.014155727    0.014300674    0.014547247
    0.500000000    0.014480899    0.014630200    0.014880270
    0.510000000    0.014808490    0.014962248    0.015215700
    0.520000000    0.015138574    0.015296895    0.015553607
    0.530000000    0.015471224    0.015634221    0.015894066
    0.540000000    0.015806518    0.015974305    0.016237151
    0.550000000    0.016144532    0.016317231    0.016582941
    0.560000000    0.016485347    0.016663083    0.016931513
    0.570000000    0.016829046    0.017011950    0.017282950
    0.580000000    0.017175713    0.017363921    0.017637335
    0.590000000    0.017525435    0.017719088    0.017994753
    0.600000000    0.017878300    0.018077546    0.018355291
    0.610000000    0.018234400    0.018439393    0.018719041
    0.620000000    0.018593829    0.018804730    0.019086094
    0.630000000    0.018956684    0.019173659    0.019456547
    0.640000000    0.019323065    0.019546288    0.019830497
    0.650000000    0.019693073    0.019922725    0.020208044
    0.660000000    0.020066814    0.020303084    0.020589293
    0.670000000    0.020444397    0.020687482    0.020974350
    0.680000000    0.020825934    0.021076040    0.021363326
    0.690000000    0.021211539    0.021468880    0.021756334
    0.700000000    0.021601332    0.021866131    0.022153490
    0.710000000    0.021995435    0.022267927    0.022554915
    0.720000000    0.022393975    0.022674402    0.022960734
    0.730000000    0.022797081    0.023085700    0.023371074
    0.740000000    0.023204890    0.023501965    0.023786068
    0.750000000    0.023617541    0.023923350    0.024205853
    0.760000000    0.024035176    0.024350011    0.024630571
    0.770000000    0.024457946    0.024782110    0.025060366
    0.780000000    0.024886004    0.025219814    0.025495391
    0.790000000    0.025319510    0.025663298    0.025935801
    0.800000000    0.025758628    0.026112743    0.026381759
    0.810000000    0.026203529    0.026568334    0.026833431
    0.820000000    0.026654390    0.027030268    0.027290991
    0.830000000    0.027111395    0.027498744    0.027754618
    0.840000000    0.027574733    0.027973973    0.028224500
    0.850000000    0.028044602    0.028456172    0.028700829
    0.860000000    0.028521206    0.028945567    0.029183805
    0.870000000    0.029004759    0.029442394    0.029673637
    0.880000000    0.029495481    0.029946898    0.030170541
    0.890000000    0.029993600    0.030459332    0.030674740
    0.900000000    0.030499357    0.030979963    0.031186469
    0.910000000    0.031012998    0.031509069    0.031705971
