# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001363697    0.001375598    0.001403822
    0.060000000    0.001636859    0.001651154    0.001685008
    0.070000000    0.001910252    0.001926948    0.001966425
    0.080000000    0.002183914    0.002203021    0.002248111
    0.090000000    0.002457885    0.002479412    0.002530105
    0.100000000    0.002732203    0.002756163    0.002812446
    0.110000000    0.003006908    0.003033313    0.003095174
    0.120000000    0.003282040    0.003310904    0.003378327
    0.130000000    0.003557637    0.003588976    0.003661946
    0.140000000    0.003833741    0.003867571    0.003946070
    0.150000000    0.004110391    0.004146731    0.004230739
    0.160000000    0.004387628    0.004426498    0.004515995
    0.170000000    0.004665492    0.004706913    0.004801877
    0.180000000    0.004944026    0.004988020    0.005088427
    0.190000000    0.005223270    0.005269862    0.005375686
    0.200000000    0.005503266    0.005552481    0.005663696
    0.210000000    0.005784058    0.005835924    0.005952501
    0.220000000    0.006065687    0.006120232    0.006242141
    0.230000000    0.006348198    0.006405453    0.006532660
    0.240000000    0.006631633    0.006691630    0.006824103
    0.250000000    0.006916038    0.006978811    0.007116513
    0.260000000    0.007201458    0.007267041    0.007409935
    0.270000000    0.007487937    0.007556369    0.007704414
    0.280000000    0.007775522    0.007846842    0.007999997
    0.290000000    0.008064259    0.008138508    0.008296729
    0.300000000    0.008354197    0.008431418    0.008594658
    0.310000000    0.008645383    0.008725621    0.008893832
    0.320000000    0.008937867    0.009021168    0.009194300
    0.330000000    0.009231697    0.009318112    0.009496110
    0.340000000    0.009526924    0.009616504    0.009799313
    0.350000000    0.009823601    0.009916398    0.010103961
    0.360000000    0.010121777    0.010217849    0.010410104
    0.370000000    0.010421508    0.010520912    0.010717795
    0.380000000    0.010722847    0.010825645    0.011027089
    0.390000000    0.011025849    0.011132104    0.011338040
    0.400000000    0.011330571    0.011440348    0.011650703
    0.410000000    0.011637068    0.011750437    0.011965136
    0.420000000    0.011945401    0.012062433    0.012281396
    0.430000000    0.012255628    0.012376398    0.012599542
    0.440000000    0.012567810    0.012692396    0.012919635
    0.450000000    0.012882009    0.013010492    0.013241735
    0.460000000    0.013198289    0.013330753    0.013565907
    0.470000000    0.013516714    0.013653247    0.013892213
    0.480000000    0.013837351    0.013978044    0.014220720
    0.490000000    0.014160267    0.014305215    0.014551494
    0.500000000    0.014485532    0.014634834    0.014884604
    0.510000000    0.014813216    0.014966974    0.015220120
    0.520000000    0.015143393    0.015301715    0.015558114
    0.530000000    0.015476136    0.015639133    0.015898659
    0.540000000    0.015811522    0.015979310    0.016241832
    0.550000000    0.016149629    0.016322328    0.016587708
    0.560000000    0.016490537    0.016668274    0.016936367
    0.570000000    0.016834329    0.017017233    0.017287891
    0.580000000    0.017181089    0.017369297    0.017642362
    0.590000000    0.017530903    0.017724557    0.017999867
    0.600000000    0.017883861    0.018083108    0.018360492
    0.610000000    0.018240054    0.018445048    0.018724329
    0.620000000    0.018599576    0.018810478    0.019091469
    0.630000000    0.018962524    0.019179500    0.019462009
    0.640000000    0.019328998    0.019552221    0.019836045
    0.650000000    0.019699099    0.019928751    0.020213680
    0.660000000    0.020072933    0.020309204    0.020595016
    0.670000000    0.020450609    0.020693695    0.020980160
    0.680000000    0.020832238    0.021082345    0.021369223
    0.690000000    0.021217937    0.021475278    0.021762317
    0.700000000    0.021607822    0.021872623    0.022159560
    0.710000000    0.022002018    0.022274511    0.022561073
    0.720000000    0.022400651    0.022681080    0.022966978
    0.730000000    0.022803851    0.023092470    0.023377405
