                                                                           
      54      54      90      54      54      90       4       2
     4        6.08491812      0.00000000      1.63043478      0.00000000      0.00000000      0.00000000
      656.5197278106       10.0000000000       70.0000000000     0
   1   Ga   13.00
   2   N     5.00
   1       0.000000000    0.577350269    0.000000000    1
   2       0.499999999    0.288675134    0.815217391    1
   3       0.000000000    0.577350269    0.613666304    2
   4       0.499999999    0.288675134    1.428883696    2
  8.278926912E-03  8.368449618E-03  8.612868037E-03  9.026422620E-03  9.626697702E-03
  1.041780253E-02  1.142273390E-02  1.266945556E-02  1.418345721E-02  1.599550276E-02
  1.815190228E-02  2.067700443E-02  2.360395398E-02  2.695021224E-02  3.071219609E-02
  3.488225858E-02  3.944446949E-02  4.436339203E-02  4.958227374E-02  5.501083839E-02
  6.052645013E-02  6.595471528E-02  7.107791422E-02  7.566586363E-02  7.950275777E-02
  8.239471857E-02  8.419305385E-02  8.480711162E-02  8.419305535E-02  8.239472139E-02
  7.950276161E-02  7.566586818E-02  7.107791920E-02  6.595472052E-02  6.052645555E-02
  5.501084395E-02  4.958227937E-02  4.436339757E-02  3.944447472E-02  3.488226327E-02
  3.071220006E-02  2.695021545E-02  2.360395654E-02  2.067700654E-02  1.815190419E-02
  1.599550464E-02  1.418345911E-02  1.266945740E-02  1.142273552E-02  1.041780378E-02
  9.626698514E-03  9.026423030E-03  8.612868175E-03  8.368449637E-03  8.368449621E-03
  8.368449639E-03  8.533852156E-03  8.856840820E-03  9.365055045E-03  1.005360529E-02
  1.094708096E-02  1.206508320E-02  1.342715369E-02  1.506917924E-02  1.702813961E-02
  1.933587788E-02  2.202719350E-02  2.512230639E-02  2.862210756E-02  3.252051201E-02
  3.679700681E-02  4.140795610E-02  4.630050713E-02  5.140544439E-02  5.662272184E-02
  6.182104668E-02  6.682819835E-02  7.144791108E-02  7.546317259E-02  7.868314112E-02
  8.093220691E-02  8.208707738E-02  8.208707812E-02  8.093220904E-02  7.868314440E-02
  7.546317671E-02  7.144791574E-02  6.682820334E-02  6.182105190E-02  5.662272724E-02
