# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    14.889730177   14.889887707   14.540429471
    0.050000000    6.172764178    6.177133191    6.238968849
    0.060000000    6.173059465    6.177431086    6.239271893
    0.070000000    6.173408541    6.177783246    6.239630136
    0.080000000    6.173811454    6.178189723    6.240043627
    0.090000000    6.174268262    6.178650576    6.240512423
    0.100000000    6.174779030    6.179165873    6.241036589
    0.110000000    6.175343832    6.179735688    6.241616199
    0.120000000    6.175962749    6.180360106    6.242251333
    0.130000000    6.176635868    6.181039218    6.242942080
    0.140000000    6.177363288    6.181773124    6.243688536
    0.150000000    6.178145111    6.182561933    6.244490806
    0.160000000    6.178981452    6.183405760    6.245349002
    0.170000000    6.179872431    6.184304731    6.246263245
    0.180000000    6.180818177    6.185258978    6.247233663
    0.190000000    6.181818827    6.186268644    6.248260394
    0.200000000    6.182874526    6.187333879    6.249343583
    0.210000000    6.183985429    6.188454842    6.250483383
    0.220000000    6.185151697    6.189631702    6.251679956
    0.230000000    6.186373503    6.190864634    6.252933473
    0.240000000    6.187651025    6.192153825    6.254244113
    0.250000000    6.188984451    6.193499470    6.255612065
    0.260000000    6.190373980    6.194901772    6.257037524
    0.270000000    6.191819817    6.196360945    6.258520696
    0.280000000    6.193322177    6.197877212    6.260061797
    0.290000000    6.194881285    6.199450806    6.261661050
    0.300000000    6.196497376    6.201081969    6.263318689
    0.310000000    6.198170692    6.202770953    6.265034956
    0.320000000    6.199901487    6.204518019    6.266810103
    0.330000000    6.201690022    6.206323441    6.268644393
    0.340000000    6.203536573    6.208187502    6.270538098
    0.350000000    6.205441420    6.210110494    6.272491499
    0.360000000    6.207404858    6.212092721    6.274504889
    0.370000000    6.209427189    6.214134499    6.276578570
    0.380000000    6.211508729    6.216236153    6.278712855
    0.390000000    6.213649802    6.218398021    6.280908069
    0.400000000    6.215850745    6.220620453    6.283164546
    0.410000000    6.218111905    6.222903808    6.285482632
    0.420000000    6.220433640    6.225248459    6.287862685
    0.430000000    6.222816323    6.227654792    6.290305073
    0.440000000    6.225260334    6.230123205    6.292810178
    0.450000000    6.227766069    6.232654106    6.295378392
    0.460000000    6.230333935    6.235247921    6.298010120
    0.470000000    6.232964352    6.237905086    6.300705781
    0.480000000    6.235657753    6.240626051    6.303465805
    0.490000000    6.238414583    6.243411282    6.306290635
    0.500000000    6.241235304    6.246261256    6.309180730
