# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001343641    0.001355541    0.001378899
    0.060000000    0.001612791    0.001627085    0.001655100
    0.070000000    0.001882172    0.001898868    0.001931532
    0.080000000    0.002151822    0.002170928    0.002208232
    0.090000000    0.002421781    0.002443307    0.002485240
    0.100000000    0.002692086    0.002716045    0.002762595
    0.110000000    0.002962778    0.002989182    0.003040336
    0.120000000    0.003233897    0.003262759    0.003318502
    0.130000000    0.003505480    0.003536818    0.003597133
    0.140000000    0.003777570    0.003811399    0.003876269
    0.150000000    0.004050205    0.004086544    0.004155949
    0.160000000    0.004323427    0.004362295    0.004436215
    0.170000000    0.004597275    0.004638695    0.004717107
    0.180000000    0.004871793    0.004915785    0.004998666
    0.190000000    0.005147020    0.005193610    0.005280933
    0.200000000    0.005422999    0.005472212    0.005563951
    0.210000000    0.005699772    0.005751636    0.005847761
    0.220000000    0.005977383    0.006031926    0.006132407
    0.230000000    0.006255874    0.006313127    0.006417931
    0.240000000    0.006535289    0.006595284    0.006704377
    0.250000000    0.006815673    0.006878443    0.006991790
    0.260000000    0.007097070    0.007162652    0.007280213
    0.270000000    0.007379527    0.007447956    0.007569693
    0.280000000    0.007663088    0.007734405    0.007860274
    0.290000000    0.007947801    0.008022047    0.008152004
    0.300000000    0.008233713    0.008310931    0.008444930
    0.310000000    0.008520873    0.008601107    0.008739099
    0.320000000    0.008809329    0.008892627    0.009034560
    0.330000000    0.009099130    0.009185542    0.009331363
    0.340000000    0.009390328    0.009479904    0.009629557
    0.350000000    0.009682973    0.009775767    0.009929194
    0.360000000    0.009977118    0.010073186    0.010230325
    0.370000000    0.010272815    0.010372216    0.010533002
    0.380000000    0.010570120    0.010672913    0.010837281
    0.390000000    0.010869086    0.010975336    0.011143215
    0.400000000    0.011169770    0.011279543    0.011450859
    0.410000000    0.011472229    0.011585594    0.011760272
    0.420000000    0.011776522    0.011893550    0.012071509
    0.430000000    0.012082708    0.012203474    0.012384631
    0.440000000    0.012390847    0.012515429    0.012699698
    0.450000000    0.012701002    0.012829481    0.013016770
    0.460000000    0.013013237    0.013145696    0.013335912
    0.470000000    0.013327615    0.013464143    0.013657186
    0.480000000    0.013644203    0.013784891    0.013980658
    0.490000000    0.013963068    0.014108012    0.014306396
    0.500000000    0.014284281    0.014433578    0.014634467
    0.510000000    0.014607912    0.014761665    0.014964943
    0.520000000    0.014934033    0.015092350    0.015297894
    0.530000000    0.015262719    0.015425711    0.015633394
    0.540000000    0.015594046    0.015761829    0.015971519
    0.550000000    0.015928093    0.016100786    0.016312345
    0.560000000    0.016264938    0.016442669    0.016655952
    0.570000000    0.016604666    0.016787564    0.017002421
    0.580000000    0.016947359    0.017135562    0.017351835
    0.590000000    0.017293105    0.017486753    0.017704279
    0.600000000    0.017641993    0.017841234    0.018059842
    0.610000000    0.017994113    0.018199102    0.018418613
    0.620000000    0.018349561    0.018560457    0.018780685
    0.630000000    0.018708433    0.018925402    0.019146154
    0.640000000    0.019070828    0.019294045    0.019515117
    0.650000000    0.019436848    0.019666494    0.019887674
    0.660000000    0.019806600    0.020042864    0.020263931
    0.670000000    0.020180190    0.020423270    0.020643993
    0.680000000    0.020557732    0.020807832    0.021027970
    0.690000000    0.020939341    0.021196676    0.021415976
    0.700000000    0.021325135    0.021589928    0.021808127
    0.710000000    0.021715236    0.021987722    0.022204545
    0.720000000    0.022109772    0.022390193    0.022605353
    0.730000000    0.022508873    0.022797485    0.023010679
    0.740000000    0.022912673    0.023209742    0.023420656
    0.750000000    0.023321312    0.023627115    0.023835420
    0.760000000    0.023734934    0.024049762    0.024255113
    0.770000000    0.024153688    0.024477844    0.024679881
    0.780000000    0.024577727    0.024911530    0.025109875
    0.790000000    0.025007211    0.025350992    0.025545251
    0.800000000    0.025442305    0.025796413    0.025986170
    0.810000000    0.025883179    0.026247978    0.026432801
    0.820000000    0.026330011    0.026705881    0.026885316
    0.830000000    0.026782983    0.027170325    0.027343894
    0.840000000    0.027242286    0.027641519    0.027808723
    0.850000000    0.027708117    0.028119680    0.028279996
    0.860000000    0.028180680    0.028605034    0.028757912
    0.870000000    0.028660189    0.029097817    0.029242679
    0.880000000    0.029146864    0.029598273    0.029734515
    0.890000000    0.029640934    0.030106658    0.030233642
    0.900000000    0.030142637    0.030623236    0.030740296
    0.910000000    0.030652223    0.031148285    0.031254717
    0.920000000    0.031169948    0.031682093    0.031777158
    0.930000000    0.031696082    0.032224962    0.032307883
    0.940000000    0.032230904    0.032777205    0.032847165
    0.950000000    0.032774707    0.033339150    0.033395288
    0.960000000    0.033327795    0.033911141    0.033952551
    0.970000000    0.033890484    0.034493536    0.034519263
    0.980000000    0.034463106    0.035086710    0.035095748
    0.990000000    0.035046007    0.035691057    0.035682343
    1.000000000    0.035639549    0.036306987    0.036279402
    1.010000000    0.036244109    0.036934932    0.036887293
    1.020000000    0.036860082    0.037575343    0.037506403
    1.030000000    0.037487883    0.038228695    0.038137134
    1.040000000    0.038127943    0.038895487    0.038779910
    1.050000000    0.038780719    0.039576242    0.039435174
    1.060000000    0.039446684    0.040271510    0.040103390
    1.070000000    0.040126339    0.040981871    0.040785046
    1.080000000    0.040820207    0.041707934    0.041480651
    1.090000000    0.041528840    0.042450341    0.042190745
    1.100000000    0.042252817    0.043209771    0.042915890
    1.110000000    0.042992745    0.043986939    0.043656681
    1.120000000    0.043749267    0.044782599    0.044413744
    1.130000000    0.044523056    0.045597549    0.045187734
    1.140000000    0.045314826    0.046432635    0.045979348
