# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.713919361    6.735865156    6.893180186
    0.060000000    6.713412501    6.735341483    6.892652602
    0.070000000    6.712840102    6.734750112    6.892056795
    0.080000000    6.712206156    6.734095177    6.891396918
    0.090000000    6.711513415    6.733379526    6.890675833
    0.100000000    6.710763784    6.732605134    6.889895523
    0.110000000    6.709958611    6.731773399    6.889057386
    0.120000000    6.709098868    6.730885336    6.888162435
    0.130000000    6.708185281    6.729941700    6.887211422
    0.140000000    6.707218410    6.728943079    6.886204928
    0.150000000    6.706198701    6.727889941    6.885143416
    0.160000000    6.705126524    6.726782679    6.884027267
    0.170000000    6.704002196    6.725621629    6.882856810
    0.180000000    6.702825998    6.724407091    6.881632333
    0.190000000    6.701598186    6.723139339    6.880354102
    0.200000000    6.700318998    6.721818630    6.879022361
    0.210000000    6.698988663    6.720445210    6.877637345
    0.220000000    6.697607401    6.719019319    6.876199281
    0.230000000    6.696175428    6.717541192    6.874708391
    0.240000000    6.694692961    6.716011062    6.873164897
    0.250000000    6.693160213    6.714429162    6.871569017
    0.260000000    6.691577400    6.712795729    6.869920974
    0.270000000    6.689944738    6.711110998    6.868220989
    0.280000000    6.688262449    6.709375209    6.866469288
    0.290000000    6.686530754    6.707588606    6.864666099
    0.300000000    6.684749878    6.705751435    6.862811654
    0.310000000    6.682920053    6.703863947    6.860906189
    0.320000000    6.681041511    6.701926395    6.858949941
    0.330000000    6.679114489    6.699939040    6.856943155
    0.340000000    6.677139228    6.697902144    6.854886077
    0.350000000    6.675115973    6.695815974    6.852778958
    0.360000000    6.673044975    6.693680804    6.850622056
    0.370000000    6.670926485    6.691496908    6.848415628
    0.380000000    6.668760762    6.689264567    6.846159938
    0.390000000    6.666548066    6.686984066    6.843855256
    0.400000000    6.664288663    6.684655693    6.841501852
    0.410000000    6.661982822    6.682279742    6.839100002
    0.420000000    6.659630815    6.679856509    6.836649987
    0.430000000    6.657232920    6.677386296    6.834152090
    0.440000000    6.654789416    6.674869406    6.831606599
    0.450000000    6.652300588    6.672306148    6.829013805
    0.460000000    6.649766722    6.669696834    6.826374002
    0.470000000    6.647188110    6.667041780    6.823687489
    0.480000000    6.644565045    6.664341303    6.820954568
    0.490000000    6.641897824    6.661595726    6.818175543
    0.500000000    6.639186747    6.658805375    6.815350722
    0.510000000    6.636432118    6.655970577    6.812480418
    0.520000000    6.633634242    6.653091663    6.809564943
    0.530000000    6.630793429    6.650168968    6.806604616
    0.540000000    6.627909989    6.647202828    6.803599755
    0.550000000    6.624984237    6.644193581    6.800550685
