# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    5.654760988    6.516315654    6.376540861
    0.060000000    5.654501979    6.515947083    6.376211780
    0.070000000    5.654209414    6.515530771    6.375840062
    0.080000000    5.653885310    6.515069591    6.375428271
    0.090000000    5.653531047    6.514565511    6.374978159
    0.100000000    5.653147573    6.514019886    6.374490931
    0.110000000    5.652735547    6.513433658    6.373967424
    0.120000000    5.652295436    6.512807498    6.373408234
    0.130000000    5.651827580    6.512141896    6.372813790
    0.140000000    5.651332231    6.511437217    6.372184415
    0.150000000    5.650809582    6.510693743    6.371520355
    0.160000000    5.650259786    6.509911697    6.370821803
    0.170000000    5.649682966    6.509091263    6.370088916
    0.180000000    5.649079225    6.508232595    6.369321827
    0.190000000    5.648448653    6.507335830    6.368520650
    0.200000000    5.647791329    6.506401087    6.367685485
    0.210000000    5.647107323    6.505428478    6.366816424
    0.220000000    5.646396703    6.504418106    6.365913553
    0.230000000    5.645659532    6.503370071    6.364976951
    0.240000000    5.644895870    6.502284468    6.364006696
    0.250000000    5.644105775    6.501161391    6.363002865
    0.260000000    5.643289307    6.500000934    6.361965530
    0.270000000    5.642446521    6.498803189    6.360894767
    0.280000000    5.641577476    6.497568249    6.359790650
    0.290000000    5.640682230    6.496296207    6.358653251
    0.300000000    5.639760840    6.494987159    6.357482646
    0.310000000    5.638813365    6.493641199    6.356278911
    0.320000000    5.637839865    6.492258425    6.355042122
    0.330000000    5.636840400    6.490838935    6.353772356
    0.340000000    5.635815030    6.489382829    6.352469693
    0.350000000    5.634763819    6.487890209    6.351134213
    0.360000000    5.633686830    6.486361180    6.349765997
    0.370000000    5.632584127    6.484795846    6.348365128
    0.380000000    5.631455775    6.483194315    6.346931691
    0.390000000    5.630301842    6.481556696    6.345465772
    0.400000000    5.629122395    6.479883100    6.343967458
    0.410000000    5.627917503    6.478173641    6.342436838
    0.420000000    5.626687236    6.476428434    6.340874003
    0.430000000    5.625431666    6.474647595    6.339279045
    0.440000000    5.624150866    6.472831245    6.337652057
    0.450000000    5.622844909    6.470979503    6.335993135
    0.460000000    5.621513870    6.469092492    6.334302376
    0.470000000    5.620157826    6.467170339    6.332579878
    0.480000000    5.618776853    6.465213168    6.330825741
    0.490000000    5.617371031    6.463221110    6.329040066
    0.500000000    5.615940439    6.461194293    6.327222956
    0.510000000    5.614485157    6.459132852    6.325374515
    0.520000000    5.613005269    6.457036919    6.323494850
    0.530000000    5.611500857    6.454906631    6.321584067
    0.540000000    5.609972005    6.452742125    6.319642277
    0.550000000    5.608418798    6.450543542    6.317669588
    0.560000000    5.606841324    6.448311022    6.315666113
    0.570000000    5.605239669    6.446044708    6.313631964
    0.580000000    5.603613923    6.443744746    6.311567257
    0.590000000    5.601964174    6.441411280    6.309472107
    0.600000000    5.600290514    6.439044461    6.307346632
    0.610000000    5.598593034    6.436644436    6.305190951
    0.620000000    5.596871828    6.434211358    6.303005182
    0.630000000    5.595126988    6.431745379    6.300789448
    0.640000000    5.593358610    6.429246653    6.298543871
    0.650000000    5.591566790    6.426715336    6.296268575
    0.660000000    5.589751623    6.424151586    6.293963685
    0.670000000    5.587913208    6.421555561    6.291629327
    0.680000000    5.586051643    6.418927422    6.289265629
    0.690000000    5.584167027    6.416267330    6.286872720
    0.700000000    5.582259461    6.413575448    6.284450730
    0.710000000    5.580329046    6.410851940    6.281999789
    0.720000000    5.578375884    6.408096971    6.279520030
    0.730000000    5.576400078    6.405310710    6.277011586
    0.740000000    5.574401731    6.402493324    6.274474592
    0.750000000    5.572380948    6.399644982    6.271909183
    0.760000000    5.570337835    6.396765854    6.269315496
    0.770000000    5.568272497    6.393856113    6.266693667
    0.780000000    5.566185041    6.390915932    6.264043837
    0.790000000    5.564075575    6.387945484    6.261366143
    0.800000000    5.561944207    6.384944944    6.258660727
    0.810000000    5.559791046    6.381914489    6.255927731
    0.820000000    5.557616202    6.378854295    6.253167296
    0.830000000    5.555419784    6.375764541    6.250379566
    0.840000000    5.553201905    6.372645406    6.247564685
    0.850000000    5.550962676    6.369497069    6.244722799
    0.860000000    5.548702209    6.366319712    6.241854052
    0.870000000    5.546420617    6.363113517    6.238958591
    0.880000000    5.544118013    6.359878665    6.236036565
    0.890000000    5.541794511    6.356615341    6.233088121
    0.900000000    5.539450227    6.353323728    6.230113409
    0.910000000    5.537085275    6.350004012    6.227112577
    0.920000000    5.534699770    6.346656378    6.224085777
    0.930000000    5.532293830    6.343281012    6.221033160
    0.940000000    5.529867571    6.339878102    6.217954877
    0.950000000    5.527421109    6.336447836    6.214851081
    0.960000000    5.524954563    6.332990401    6.211721925
    0.970000000    5.522468051    6.329505987    6.208567562
    0.980000000    5.519961691    6.325994783    6.205388148
    0.990000000    5.517435601    6.322456979    6.202183836
    1.000000000    5.514889902    6.318892766    6.198954783
    1.010000000    5.512324713    6.315302334    6.195701143
    1.020000000    5.509740154    6.311685875    6.192423074
    1.030000000    5.507136345    6.308043581    6.189120732
    1.040000000    5.504513407    6.304375644    6.185794276
    1.050000000    5.501871461    6.300682256    6.182443861
    1.060000000    5.499210629    6.296963611    6.179069648
    1.070000000    5.496531032    6.293219903    6.175671793
    1.080000000    5.493832791    6.289451323    6.172250458
    1.090000000    5.491116030    6.285658067    6.168805800
    1.100000000    5.488380870    6.281840328    6.165337979
    1.110000000    5.485627434    6.277998301    6.161847156
    1.120000000    5.482855845    6.274132180    6.158333491
    1.130000000    5.480066225    6.270242160    6.154797145
    1.140000000    5.477258699    6.266328436    6.151238278
    1.150000000    5.474433389    6.262391201    6.147657052
    1.160000000    5.471590419    6.258430653    6.144053627
    1.170000000    5.468729912    6.254446984    6.140428166
    1.180000000    5.465851993    6.250440392    6.136780831
    1.190000000    5.462956785    6.246411070    6.133111783
    1.200000000    5.460044412    6.242359213    6.129421185
    1.210000000    5.457114999    6.238285018    6.125709198
    1.220000000    5.454168669    6.234188679    6.121975986
    1.230000000    5.451205546    6.230070390    6.118221710
    1.240000000    5.448225755    6.225930348    6.114446534
    1.250000000    5.445229421    6.221768746    6.110650620
    1.260000000    5.442216666    6.217585779    6.106834130
    1.270000000    5.439187617    6.213381642    6.102997228
    1.280000000    5.436142396    6.209156529    6.099140075
    1.290000000    5.433081129    6.204910634    6.095262836
    1.300000000    5.430003939    6.200644151    6.091365672
    1.310000000    5.426910950    6.196357273    6.087448747
    1.320000000    5.423802287    6.192050195    6.083512223
    1.330000000    5.420678074    6.187723109    6.079556263
    1.340000000    5.417538435    6.183376207    6.075581029
    1.350000000    5.414383494    6.179009684    6.071586683
    1.360000000    5.411213373    6.174623730    6.067573389
    1.370000000    5.408028198    6.170218537    6.063541308
    1.380000000    5.404828092    6.165794297    6.059490602
    1.390000000    5.401613178    6.161351202    6.055421434
    1.400000000    5.398383578    6.156889441    6.051333965
    1.410000000    5.395139418    6.152409205    6.047228356
    1.420000000    5.391880818    6.147910683    6.043104769
    1.430000000    5.388607903    6.143394066    6.038963366
    1.440000000    5.385320794    6.138859542    6.034804307
    1.450000000    5.382019614    6.134307299    6.030627753
