# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.798838391   17.798629494   17.822530287
    0.050000000    6.881166503    6.881323212    7.045393811
    0.060000000    6.881468689    6.881625530    7.045702379
    0.070000000    6.881825919    6.881982917    7.046067150
    0.080000000    6.882238247    6.882395426    7.046488174
    0.090000000    6.882705731    6.882863116    7.046965508
    0.100000000    6.883228438    6.883386053    7.047499217
    0.110000000    6.883806444    6.883964315    7.048089376
    0.120000000    6.884439833    6.884597984    7.048736064
    0.130000000    6.885128696    6.885287153    7.049439370
    0.140000000    6.885873133    6.886031922    7.050199392
    0.150000000    6.886673252    6.886832398    7.051016234
    0.160000000    6.887529170    6.887688699    7.051890009
    0.170000000    6.888441012    6.888600951    7.052820838
    0.180000000    6.889408910    6.889569285    7.053808850
    0.190000000    6.890433008    6.890593846    7.054854182
    0.200000000    6.891513454    6.891674783    7.055956981
    0.210000000    6.892650408    6.892812255    7.057117399
    0.220000000    6.893844039    6.894006432    7.058335600
    0.230000000    6.895094522    6.895257491    7.059611754
    0.240000000    6.896402045    6.896565617    7.060946042
    0.250000000    6.897766800    6.897931006    7.062338651
    0.260000000    6.899188994    6.899353863    7.063789780
    0.270000000    6.900668839    6.900834402    7.065299635
    0.280000000    6.902206557    6.902372845    7.066868430
    0.290000000    6.903802382    6.903969427    7.068496392
    0.300000000    6.905456556    6.905624390    7.070183753
    0.310000000    6.907169331    6.907337987    7.071930757
    0.320000000    6.908940969    6.909110480    7.073737657
    0.330000000    6.910771742    6.910942143    7.075604717
    0.340000000    6.912661934    6.912833260    7.077532209
    0.350000000    6.914611836    6.914784123    7.079520415
    0.360000000    6.916621755    6.916795039    7.081569630
    0.370000000    6.918692003    6.918866323    7.083680156
    0.380000000    6.920822908    6.920998302    7.085852308
    0.390000000    6.923014807    6.923191314    7.088086410
    0.400000000    6.925268049    6.925445709    7.090382800
    0.410000000    6.927582994    6.927761849    7.092741823
    0.420000000    6.929960016    6.930140108    7.095163839
    0.430000000    6.932399499    6.932580873    7.097649218
    0.440000000    6.934901840    6.935084541    7.100198342
    0.450000000    6.937467452    6.937651525    7.102811605
    0.460000000    6.940096756    6.940282249    7.105489414
    0.470000000    6.942790190    6.942977151    7.108232189
    0.480000000    6.945548204    6.945736684    7.111040361
    0.490000000    6.948371262    6.948561314    7.113914376
    0.500000000    6.951259845    6.951451521    7.116854694
    0.510000000    6.954214444    6.954407799    7.119861786
    0.520000000    6.957235569    6.957430661    7.122936141
    0.530000000    6.960323745    6.960520630    7.126078259
    0.540000000    6.963479509    6.963678250    7.129288657
    0.550000000    6.966703420    6.966904078    7.132567866
    0.560000000    6.969996049    6.970198689    7.135916433
    0.570000000    6.973357986    6.973562675    7.139334922
    0.580000000    6.976789838    6.976996645    7.142823912
    0.590000000    6.980292232    6.980501227    7.146383999
    0.600000000    6.983865810    6.984077068    7.150015798
    0.610000000    6.987511236    6.987724834    7.153719939
    0.620000000    6.991229192    6.991445208    7.157497072
    0.630000000    6.995020381    6.995238899    7.161347865
    0.640000000    6.998885527    6.999106630    7.165273006
    0.650000000    7.002825375    7.003049152    7.169273202
    0.660000000    7.006840690    7.007067234    7.173349182
    0.670000000    7.010932264    7.011161670    7.177501694
    0.680000000    7.015100909    7.015333276    7.181731508
    0.690000000    7.019347463    7.019582893    7.186039418
    0.700000000    7.023672787    7.023911388    7.190426239
    0.710000000    7.028077771    7.028319653    7.194892810
    0.720000000    7.032563327    7.032808607    7.199439995
    0.730000000    7.037130399    7.037379198    7.204068684
    0.740000000    7.041779956    7.042032400    7.208779790
    0.750000000    7.046512999    7.046769219    7.213574257
    0.760000000    7.051330559    7.051590690    7.218453054
    0.770000000    7.056233696    7.056497883    7.223417178
    0.780000000    7.061223505    7.061491896    7.228467659
    0.790000000    7.066301114    7.066573865    7.233605554
    0.800000000    7.071467686    7.071744959    7.238831954
    0.810000000    7.076724420    7.077006386    7.244147982
    0.820000000    7.082072554    7.082359390    7.249554795
    0.830000000    7.087513363    7.087805256    7.255053586
    0.840000000    7.093048164    7.093345308    7.260645584
    0.850000000    7.098678315    7.098980915    7.266332056
    0.860000000    7.104405220    7.104713489    7.272114308
    0.870000000    7.110230324    7.110544488    7.277993687
    0.880000000    7.116155125    7.116475418    7.283971582
    0.890000000    7.122181165    7.122507835    7.290049428
    0.900000000    7.128310042    7.128643349    7.296228702
    0.910000000    7.134543403    7.134883620    7.302510933
    0.920000000    7.140882954    7.141230368    7.308897695
    0.930000000    7.147330458    7.147685372    7.315390618
    0.940000000    7.153887737    7.154250469    7.321991382
    0.950000000    7.160556679    7.160927564    7.328701725
    0.960000000    7.167339236    7.167718628    7.335523443
    0.970000000    7.174237430    7.174625702    7.342458391
    0.980000000    7.181253354    7.181650901    7.349508491
    0.990000000    7.188389179    7.188796415    7.356675727
    1.000000000    7.195647152    7.196064518    7.363962155
    1.010000000    7.203029604    7.203457566    7.371369904
    1.020000000    7.210538955    7.210978003    7.378901175
    1.030000000    7.218177712    7.218628369    7.386558252
    1.040000000    7.225948480    7.226411299    7.394343500
    1.050000000    7.233853965    7.234329531    7.402259371
    1.060000000    7.241896977    7.242385913    7.410308409
    1.070000000    7.250080436    7.250583403    7.418493251
    1.080000000    7.258407381    7.258925082    7.426816638
    1.090000000    7.266880973    7.267414155    7.435281413
    1.100000000    7.275504502    7.276053960    7.443890532
    1.110000000    7.284281394    7.284847978    7.452647067
    1.120000000    7.293215221    7.293799835    7.461554212
    1.130000000    7.302309705    7.302913316    7.470615289
    1.140000000    7.311568732    7.312192370    7.479833760
    1.150000000    7.320996354    7.321641123    7.489213227
    1.160000000    7.330596807    7.331263888    7.498757445
    1.170000000    7.340374517    7.341065175    7.508470329
    1.180000000    7.350334111    7.351049702    7.518355965
    1.190000000    7.360480434    7.361222413    7.528418617
    1.200000000    7.370818557    7.371588489    7.538662739
    1.210000000    7.381353796    7.382153363    7.549092987
    1.220000000    7.392091726    7.392922739    7.559714231
    1.230000000    7.403038197    7.403902607    7.570531569
    1.240000000    7.414199355    7.415099267    7.581550339
    1.250000000    7.425581659    7.426519348    7.592776138
    1.260000000    7.437191906    7.438169832    7.604214836
    1.270000000    7.449037254    7.450058078    7.615872597
    1.280000000    7.461125244    7.462191853    7.627755895
    1.290000000    7.473463836    7.474579362    7.639871539
    1.300000000    7.486061432    7.487229278    7.652226696
    1.310000000    7.498926915    7.500150784    7.664828914
    1.320000000    7.512069684    7.513353611    7.677686155
    1.330000000    7.525499696    7.526848082    7.690806819
    1.340000000    7.539227508    7.540645164    7.704199783
    1.350000000    7.553264331    7.554756518    7.717874434
    1.360000000    7.567622082    7.569194566    7.731840711
    1.370000000    7.582313442    7.583972552    7.746109150
    1.380000000    7.597351928    7.599104620    7.760690930
    1.390000000    7.612751964    7.614605896    7.775597930
    1.400000000    7.628528964    7.630492581    7.790842787
    1.410000000    7.644699425    7.646782057    7.806438961
    1.420000000    7.661281028    7.663492999    7.822400812
    1.430000000    7.678292756    7.680645511    7.838743676
    1.440000000    7.695755020    7.698261271    7.855483962
    1.450000000    7.713689806    7.716363699    7.872639249
    1.460000000    7.732120839    7.734978145    7.890228403
    1.470000000    7.751073766    7.754132102    7.908271701
    1.480000000    7.770576366    7.773855452    7.926790979
    1.490000000    7.790658785    7.794180744    7.945809790
    1.500000000    7.811353809    7.815143505    7.965353589
    1.510000000    7.832697168    7.836782608    7.985449937
    1.520000000    7.854727886    7.859140683    8.006128739
    1.530000000    7.877488680    7.882264597    8.027422510
    1.540000000    7.901026422    7.906205995    8.049366676
    1.550000000    7.925392659    7.931021929    8.071999922
    1.560000000    7.950644217    7.956775578    8.095364589
    1.570000000    7.976843886    7.983537067    8.119507125
    1.580000000    8.004061213    8.011384407    8.144478605
    1.590000000    8.032373396    8.040404549    8.170335319
    1.600000000    8.061866298    8.070694562    8.197139456
    1.610000000    8.092635590    8.102362922    8.224959868
    1.620000000    8.124787995    8.135530859    8.253872942
    1.630000000    8.158442631    8.170333688    8.283963577
    1.640000000    8.193732357    8.206921934    8.315326254
    1.650000000    8.230805002    8.245461923    8.348066179
    1.660000000    8.269824196    8.286135234    8.382300448
    1.670000000    8.310969314    8.329135904    8.418159099
    1.680000000    8.354433624    8.374663440    8.455785845
