 &plot nbnd=  35, nks=    71 /
            0.000000  0.000000  0.306667
   -5.966   -5.966   -4.170   -4.170   -4.170   -4.170   -3.910   -3.910   -3.910   -3.910
   -3.836   -3.836    5.447    5.447    8.737    8.737    8.737    8.737   13.312   13.312
   17.566   17.566   19.505   19.505   19.505   19.505   25.314   25.314   27.396   27.396
   27.396   27.396   31.707   31.707   31.707
            0.050000  0.028868  0.306667
   -5.952   -5.952   -4.168   -4.168   -4.166   -4.166   -3.927   -3.927   -3.910   -3.910
   -3.806   -3.806    5.443    5.443    8.594    8.594    8.698    8.698   13.442   13.442
   17.470   17.470   19.459   19.459   19.572   19.572   25.388   25.388   27.348   27.348
   27.435   27.435   31.042   31.042   31.864
            0.100000  0.057735  0.306667
   -5.911   -5.911   -4.160   -4.160   -4.154   -4.154   -3.953   -3.953   -3.910   -3.910
   -3.740   -3.740    5.418    5.418    8.232    8.232    8.588    8.588   13.764   13.764
   17.220   17.220   19.357   19.357   19.759   19.759   25.379   25.379   27.244   27.244
   27.753   27.753   30.517   30.517   32.296
            0.150000  0.086603  0.306667
   -5.851   -5.851   -4.149   -4.149   -4.135   -4.135   -3.973   -3.973   -3.910   -3.910
   -3.647   -3.647    5.333    5.333    7.796    7.796    8.421    8.421   14.122   14.122
   16.926   16.926   19.249   19.249   20.033   20.033   25.061   25.061   27.165   27.165
   28.501   28.501   30.286   30.286   32.922
            0.200000  0.115470  0.306667
   -5.782   -5.782   -4.137   -4.137   -4.113   -4.113   -3.984   -3.984   -3.909   -3.909
   -3.522   -3.522    5.121    5.121    7.434    7.434    8.221    8.221   14.350   14.350
   16.729   16.729   19.160   19.160   20.347   20.347   24.606   24.606   27.194   27.194
   29.219   29.219   30.590   30.590   33.647
            0.250000  0.144338  0.306667
   -5.714   -5.714   -4.129   -4.129   -4.090   -4.090   -3.983   -3.983   -3.906   -3.906
   -3.358   -3.358    4.740    4.740    7.240    7.240    8.009    8.009   14.346   14.346
   16.711   16.711   19.097   19.097   20.648   20.648   24.211   24.211   27.390   27.390
   29.440   29.440   31.620   31.620   34.361
            0.300000  0.173205  0.306667
   -5.656   -5.656   -4.128   -4.128   -4.069   -4.069   -3.973   -3.973   -3.900   -3.900
   -3.157   -3.157    4.237    4.237    7.202    7.202    7.807    7.807   14.169   14.169
   16.790   16.790   19.062   19.062   20.894   20.894   23.980   23.980   27.786   27.786
   29.504   29.504   32.715   32.715   34.890
            0.350000  0.202073  0.306667
   -5.612   -5.612   -4.132   -4.132   -4.052   -4.052   -3.958   -3.958   -3.892   -3.892
   -2.934   -2.934    3.710    3.710    7.251    7.251    7.631    7.631   13.940   13.940
   16.849   16.849   19.048   19.048   21.068   21.068   23.938   23.938   28.371   28.371
   29.560   29.560   33.258   33.258   34.989
            0.400000  0.230940  0.306667
   -5.582   -5.582   -4.137   -4.137   -4.041   -4.041   -3.945   -3.945   -3.883   -3.883
   -2.718   -2.718    3.248    3.248    7.326    7.326    7.497    7.497   13.739   13.739
   16.856   16.856   19.045   19.045   21.173   21.173   24.036   24.036   29.078   29.078
   29.621   29.621   33.162   33.162   34.580
            0.450000  0.259808  0.306667
   -5.566   -5.566   -4.141   -4.141   -4.036   -4.036   -3.935   -3.935   -3.876   -3.876
   -2.557   -2.557    2.929    2.929    7.388    7.388    7.412    7.412   13.605   13.605
