# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.799107363   17.799089040   17.823179789
    0.050000000    6.881287277    6.881318964    7.045408448
    0.060000000    6.881589564    6.881621279    7.045717035
    0.070000000    6.881946915    6.881978664    7.046081829
    0.080000000    6.882359381    6.882391168    7.046502879
    0.090000000    6.882827022    6.882858853    7.046980242
    0.100000000    6.883349906    6.883381786    7.047513985
    0.110000000    6.883928108    6.883960042    7.048104180
    0.120000000    6.884561711    6.884593705    7.048750909
    0.130000000    6.885250808    6.885282868    7.049454259
    0.140000000    6.885995499    6.886027629    7.050214329
    0.150000000    6.886795892    6.886828098    7.051031222
    0.160000000    6.887652103    6.887684391    7.051905053
    0.170000000    6.888564258    6.888596633    7.052835940
    0.180000000    6.889532490    6.889564958    7.053824015
    0.190000000    6.890556941    6.890589508    7.054869414
    0.200000000    6.891637763    6.891670435    7.055972284
    0.210000000    6.892775113    6.892807896    7.057132777
    0.220000000    6.893969161    6.894002061    7.058351057
    0.230000000    6.895220084    6.895253107    7.059627294
    0.240000000    6.896528068    6.896561220    7.060961669
    0.250000000    6.897893308    6.897926596    7.062354371
    0.260000000    6.899316008    6.899349438    7.063805596
    0.270000000    6.900796382    6.900829962    7.065315551
    0.280000000    6.902334654    6.902368390    7.066884452
    0.290000000    6.903931057    6.903964956    7.068512523
    0.300000000    6.905585833    6.905619901    7.070199999
    0.310000000    6.907299234    6.907333481    7.071947123
    0.320000000    6.909071524    6.909105956    7.073754148
    0.330000000    6.910902976    6.910937600    7.075621338
    0.340000000    6.912793872    6.912828696    7.077548964
    0.350000000    6.914744507    6.914779539    7.079537311
    0.360000000    6.916755185    6.916790434    7.081586672
    0.370000000    6.918826222    6.918861695    7.083697350
    0.380000000    6.920957944    6.920993651    7.085869659
    0.390000000    6.923150689    6.923186640    7.088103925
    0.400000000    6.925404808    6.925441010    7.090400484
    0.410000000    6.927720662    6.927757125    7.092759684
    0.420000000    6.930098624    6.930135358    7.095181882
    0.430000000    6.932539080    6.932576096    7.097667450
    0.440000000    6.935042429    6.935079736    7.100216770
    0.450000000    6.937609082    6.937646691    7.102830236
    0.460000000    6.940239463    6.940277385    7.105508256
    0.470000000    6.942934011    6.942972257    7.108251248
    0.480000000    6.945693176    6.945731758    7.111059646
    0.490000000    6.948517425    6.948556355    7.113933895
    0.500000000    6.951407237    6.951446528    7.116874455
    0.510000000    6.954363108    6.954402772    7.119881798
    0.520000000    6.957385546    6.957425598    7.122956412
    0.530000000    6.960475078    6.960515531    7.126098799
    0.540000000    6.963632245    6.963673112    7.129309475
    0.550000000    6.966857604    6.966898901    7.132588972
    0.560000000    6.970151729    6.970193472    7.135937837
    0.570000000    6.973515211    6.973557416    7.139356635
    0.580000000    6.976948660    6.976991343    7.142845945
    0.590000000    6.980452703    6.980495882    7.146406363
    0.600000000    6.984027985    6.984071677    7.150038505
    0.610000000    6.987675172    6.987719396    7.153743001
    0.620000000    6.991394947    6.991439723    7.157520501
    0.630000000    6.995188016    6.995233364    7.161371676
    0.640000000    6.999055104    6.999101045    7.165297212
    0.650000000    7.002996959    7.003043514    7.169297817
    0.660000000    7.007014350    7.007061543    7.173374221
    0.670000000    7.011108069    7.011155923    7.177527172
    0.680000000    7.015278932    7.015327472    7.181757443
    0.690000000    7.019527778    7.019577031    7.186065825
    0.700000000    7.023855474    7.023905466    7.190453136
    0.710000000    7.028262910    7.028313669    7.194920215
    0.720000000    7.032751003    7.032802560    7.199467928
    0.730000000    7.037320700    7.037373086    7.204097164
    0.740000000    7.041972975    7.042026221    7.208808839
    0.750000000    7.046708831    7.046762972    7.213603896
    0.760000000    7.051529302    7.051584373    7.218483306
    0.770000000    7.056435454    7.056491493    7.223448067
    0.780000000    7.061428387    7.061485432    7.228499209
    0.790000000    7.066509232    7.066567325    7.233637793
    0.800000000    7.071679157    7.071738342    7.238864908
    0.810000000    7.076939369    7.076999689    7.244181680
    0.820000000    7.082291107    7.082352611    7.249589268
    0.830000000    7.087735655    7.087798393    7.255088865
    0.840000000    7.093274335    7.093338360    7.260681703
    0.850000000    7.098908512    7.098973879    7.266369049
    0.860000000    7.104639596    7.104706363    7.272152212
    0.870000000    7.110469041    7.110537270    7.278032541
    0.880000000    7.116398350    7.116468107    7.284011427
    0.890000000    7.122429077    7.122500429    7.290090306
    0.900000000    7.128562824    7.128635845    7.296270659
    0.910000000    7.134801252    7.134876017    7.302554015
    0.920000000    7.141146073    7.141222665    7.308941954
    0.930000000    7.147599062    7.147677566    7.315436106
    0.940000000    7.154162052    7.154242559    7.322038156
    0.950000000    7.160836943    7.160919549    7.328749844
    0.960000000    7.167625699    7.167710507    7.335572969
    0.970000000    7.174530356    7.174617473    7.342509390
    0.980000000    7.181553021    7.181642563    7.349561033
    0.990000000    7.188695880    7.188787969    7.356729888
    1.000000000    7.195961196    7.196055963    7.364018013
    1.010000000    7.203351318    7.203448902    7.371427542
    1.020000000    7.210868684    7.210969231    7.378960682
    1.030000000    7.218515821    7.218619490    7.386619723
    1.040000000    7.226295357    7.226402314    7.394407035
    1.050000000    7.234210017    7.234320443    7.402325077
    1.060000000    7.242262638    7.242376724    7.410376399
    1.070000000    7.250456167    7.250574118    7.418563648
    1.080000000    7.258793669    7.258915706    7.426889570
    1.090000000    7.267278337    7.267404693    7.435357019
    1.100000000    7.275913492    7.276044421    7.443968959
    1.110000000    7.284702598    7.284838370    7.452728473
    1.120000000    7.293649262    7.293790168    7.461638765
    1.130000000    7.302757249    7.302903602    7.470703171
    1.140000000    7.312030487    7.312182624    7.479925164
    1.150000000    7.321473078    7.321631363    7.489308361
    1.160000000    7.331089309    7.331254133    7.498856533
    1.170000000    7.340883662    7.341055448    7.508573611
    1.180000000    7.350860825    7.351040031    7.518463700
    1.190000000    7.361025709    7.361212830    7.528531082
    1.200000000    7.371383457    7.371579030    7.538780235
    1.210000000    7.381939463    7.382144070    7.549215838
    1.220000000    7.392699388    7.392913660    7.559842788
    1.230000000    7.403669174    7.403893799    7.570666210
    1.240000000    7.414855069    7.415090795    7.581691474
    1.250000000    7.426263643    7.426511287    7.592924212
    1.260000000    7.437901816    7.438162267    7.604370332
    1.270000000    7.449776877    7.450051108    7.616036038
    1.280000000    7.461896516    7.462185594    7.627927852
    1.290000000    7.474268853    7.474573943    7.640052634
    1.300000000    7.486902467    7.487224852    7.652417607
    1.310000000    7.499806438    7.500147526    7.665030382
    1.320000000    7.512990381    7.513351722    7.677898988
    1.330000000    7.526464491    7.526847796    7.691031905
    1.340000000    7.540239592    7.540646748    7.704438094
    1.350000000    7.554327188    7.554760283    7.718127039
    1.360000000    7.568739523    7.569200872    7.732108785
    1.370000000    7.583489644    7.583981814    7.746393987
    1.380000000    7.598591474    7.599117320    7.760993959
    1.390000000    7.614059891    7.614622593    7.775920729
    1.400000000    7.629910819    7.630513924    7.791187104
    1.410000000    7.646161324    7.646808801    7.806806734
    1.420000000    7.662829731    7.663526024    7.822794193
    1.430000000    7.679935745    7.680685840    7.839165062
    1.440000000    7.697500595    7.698310101    7.855936023
    1.450000000    7.715547189    7.716422426    7.873124969
    1.460000000    7.734100299    7.735048402    7.890751119
    1.470000000    7.753186759    7.754215805    7.908835158
    1.480000000    7.772835702    7.773954847    7.927399383
    1.490000000    7.793078817    7.794298464    7.946467875
    1.500000000    7.813950650    7.815282648    7.966066696
    1.510000000    7.835488950    7.836946813    7.986224104
    1.520000000    7.857735051    7.859334231    8.006970807
    1.530000000    7.880734330    7.882492521    8.028340241
    1.540000000    7.904536709    7.906474207    8.050368898
    1.550000000    7.929197248    7.931337366    8.073096695
    1.560000000    7.954776811    7.957146350    8.096567396
    1.570000000    7.981342831    7.983972619    8.120829093
    1.580000000    8.008970176    8.011895652    8.145934760
    1.590000000    8.037742113    8.041003958    8.171942880
    1.600000000    8.067751385    8.071396139    8.198918152
    1.610000000    8.099101348    8.103181951    8.226932295
    1.620000000    8.131907148    8.136483237    8.256064929
    1.630000000    8.166296803    8.171434489    8.286404530
    1.640000000    8.202411989    8.208182614    8.318049425
    1.650000000    8.240408130    8.246885116    8.351108741
    1.660000000    8.280453083    8.287705271    8.385703153
    1.670000000    8.322723103    8.330801785    8.421965163
    1.680000000    8.367393780    8.376308379    8.460038359
    1.690000000    8.414621739    8.424295177    8.500074720
    1.700000000    8.464509657    8.474697484    8.542228226
    1.710000000    8.517041462    8.527186828    8.586641675
    1.720000000    8.571965430    8.580942698    8.633421197
    1.730000000    8.628590068    8.634263903    8.682588798
    1.740000000    8.685447615    8.683957475    8.733996877
    1.750000000    8.739800629    8.724540913    8.787180721
    1.760000000    8.787098932    8.747696556    8.841122864
    1.770000000    8.820864055    8.743372180    8.893935514
    1.780000000    8.833981064    8.704764083    8.942608528
    1.790000000    8.822026054    8.636743147    8.983314945
    1.800000000    8.787082625    8.559255855    9.013082326
    1.810000000    8.738978165    8.497263685    9.032638513
    1.820000000    8.691779427    8.466253919    9.047049498
    1.830000000    8.654889852    8.467482587    9.060577017
    1.840000000    8.625166082    8.492109889    9.069895212
    1.850000000    8.590141912    8.527943026    9.063538647
