# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.736121094    6.736963882    6.902511064
    0.060000000    6.735596333    6.736438073    6.901974578
    0.070000000    6.735003739    6.735844297    6.901368728
    0.080000000    6.734347452    6.735186703    6.900697744
    0.090000000    6.733630328    6.734468155    6.899964539
    0.100000000    6.732854349    6.733690637    6.899171136
    0.110000000    6.732020916    6.732855556    6.898318960
    0.120000000    6.731131047    6.731963931    6.897409046
    0.130000000    6.730185501    6.731016525    6.896442165
    0.140000000    6.729184867    6.730013929    6.895418913
    0.150000000    6.728129619    6.728956617    6.894339766
    0.160000000    6.727020149    6.727844984    6.893205120
    0.170000000    6.725856797    6.726679371    6.892015313
    0.180000000    6.724639864    6.725460082    6.890770647
    0.190000000    6.723369628    6.724187396    6.889471397
    0.200000000    6.722046347    6.722861572    6.888117820
    0.210000000    6.720670271    6.721482862    6.886710162
    0.220000000    6.719241642    6.720051509    6.885248661
    0.230000000    6.717760695    6.718567752    6.883733551
    0.240000000    6.716227669    6.717031829    6.882165064
    0.250000000    6.714642799    6.715443978    6.880543433
    0.260000000    6.713006322    6.713804437    6.878868890
    0.270000000    6.711318478    6.712113449    6.877141670
    0.280000000    6.709579509    6.710371257    6.875362011
    0.290000000    6.707789661    6.708578109    6.873530154
    0.300000000    6.705949183    6.706734256    6.871646344
    0.310000000    6.704058329    6.704839953    6.869710828
    0.320000000    6.702117356    6.702895459    6.867723859
    0.330000000    6.700126525    6.700901039    6.865685693
    0.340000000    6.698086103    6.698856959    6.863596592
    0.350000000    6.695996360    6.696763492    6.861456819
    0.360000000    6.693857570    6.694620915    6.859266645
    0.370000000    6.691670013    6.692429509    6.857026344
    0.380000000    6.689433972    6.690189559    6.854736192
    0.390000000    6.687149733    6.687901353    6.852396473
    0.400000000    6.684817589    6.685565187    6.850007472
    0.410000000    6.682437836    6.683181357    6.847569480
    0.420000000    6.680010773    6.680750165    6.845082791
    0.430000000    6.677536703    6.678271917    6.842547704
    0.440000000    6.675015935    6.675746922    6.839964520
    0.450000000    6.672448778    6.673175493    6.837333546
