# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001363781    0.001375681    0.001403908
    0.060000000    0.001636959    0.001651254    0.001685111
    0.070000000    0.001910368    0.001927065    0.001966545
    0.080000000    0.002184047    0.002203154    0.002248248
    0.090000000    0.002458035    0.002479562    0.002530259
    0.100000000    0.002732369    0.002756329    0.002812618
    0.110000000    0.003007091    0.003033496    0.003095362
    0.120000000    0.003282239    0.003311103    0.003378533
    0.130000000    0.003557853    0.003589192    0.003662168
    0.140000000    0.003833974    0.003867804    0.003946310
    0.150000000    0.004110640    0.004146980    0.004230996
    0.160000000    0.004387893    0.004426763    0.004516269
    0.170000000    0.004665775    0.004707195    0.004802168
    0.180000000    0.004944325    0.004988319    0.005088735
    0.190000000    0.005223585    0.005270177    0.005376012
    0.200000000    0.005503598    0.005552814    0.005664039
    0.210000000    0.005784407    0.005836273    0.005952860
    0.220000000    0.006066053    0.006120598    0.006242518
    0.230000000    0.006348580    0.006405835    0.006533055
    0.240000000    0.006632032    0.006692029    0.006824514
    0.250000000    0.006916454    0.006979226    0.007116942
    0.260000000    0.007201889    0.007267473    0.007410381
    0.270000000    0.007488385    0.007556818    0.007704877
    0.280000000    0.007775987    0.007847307    0.008000477
    0.290000000    0.008064741    0.008138990    0.008297226
    0.300000000    0.008354696    0.008431917    0.008595172
    0.310000000    0.008645899    0.008726136    0.008894364
    0.320000000    0.008938398    0.009021700    0.009194848
    0.330000000    0.009232245    0.009318660    0.009496676
    0.340000000    0.009527489    0.009617069    0.009799896
    0.350000000    0.009824182    0.009916980    0.010104561
    0.360000000    0.010122376    0.010218447    0.010410721
    0.370000000    0.010422123    0.010521527    0.010718429
    0.380000000    0.010723479    0.010826276    0.011027740
    0.390000000    0.011026497    0.011132752    0.011338708
    0.400000000    0.011331235    0.011441013    0.011651389
    0.410000000    0.011637750    0.011751119    0.011965839
    0.420000000    0.011946099    0.012063131    0.012282116
    0.430000000    0.012256342    0.012377113    0.012600279
    0.440000000    0.012568541    0.012693128    0.012920389
    0.450000000    0.012882757    0.013011240    0.013242507
    0.460000000    0.013199053    0.013331518    0.013566695
    0.470000000    0.013517495    0.013654029    0.013893019
    0.480000000    0.013838149    0.013978842    0.014221542
    0.490000000    0.014161081    0.014306030    0.014552334
    0.500000000    0.014486363    0.014635665    0.014885461
    0.510000000    0.014814064    0.014967822    0.015220994
    0.520000000    0.015144257    0.015302579    0.015559005
    0.530000000    0.015477017    0.015640014    0.015899568
    0.540000000    0.015812419    0.015980207    0.016242757
    0.550000000    0.016150543    0.016323243    0.016588651
    0.560000000    0.016491468    0.016669205    0.016937327
    0.570000000    0.016835276    0.017018181    0.017288868
    0.580000000    0.017182053    0.017370261    0.017643357
    0.590000000    0.017531884    0.017725538    0.018000879
    0.600000000    0.017884858    0.018084106    0.018361521
    0.610000000    0.018241068    0.018446063    0.018725375
    0.620000000    0.018600607    0.018811509    0.019092533
    0.630000000    0.018963571    0.019180547    0.019463089
    0.640000000    0.019330061    0.019553285    0.019837143
    0.650000000    0.019700179    0.019929832    0.020214794
    0.660000000    0.020074030    0.020310301    0.020596147
    0.670000000    0.020451723    0.020694809    0.020981309
    0.680000000    0.020833369    0.021083476    0.021370389
