# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.798702372   17.798928753   17.823203692
    0.050000000    6.905051415    6.909438227    7.074206305
    0.060000000    6.905351133    6.909740552    7.074514851
    0.070000000    6.905705444    6.910097949    7.074879596
    0.080000000    6.906114399    6.910510468    7.075300589
    0.090000000    6.906578055    6.910978168    7.075777887
    0.100000000    6.907096476    6.911501118    7.076311557
    0.110000000    6.907669737    6.912079393    7.076901671
    0.120000000    6.908297919    6.912713076    7.077548310
    0.130000000    6.908981109    6.913402259    7.078251562
    0.140000000    6.909719405    6.914147043    7.079011525
    0.150000000    6.910512912    6.914947535    7.079828303
    0.160000000    6.911361743    6.915803851    7.080702008
    0.170000000    6.912266017    6.916716118    7.081632761
    0.180000000    6.913225865    6.917684468    7.082620691
    0.190000000    6.914241423    6.918709043    7.083665936
    0.200000000    6.915312838    6.919789994    7.084768639
    0.210000000    6.916440263    6.920927480    7.085928957
    0.220000000    6.917623861    6.922121669    7.087147049
    0.230000000    6.918863803    6.923372738    7.088423088
    0.240000000    6.920160268    6.924680873    7.089757253
    0.250000000    6.921513446    6.926046269    7.091149731
    0.260000000    6.922923533    6.927469131    7.092600720
    0.270000000    6.924390736    6.928949671    7.094110426
    0.280000000    6.925915270    6.930488113    7.095679063
    0.290000000    6.927497361    6.932084690    7.097306857
    0.300000000    6.929137242    6.933739644    7.098994040
    0.310000000    6.930835157    6.935453227    7.100740855
    0.320000000    6.932591360    6.937225702    7.102547556
    0.330000000    6.934406112    6.939057341    7.104414403
    0.340000000    6.936279688    6.940948428    7.106341671
    0.350000000    6.938212371    6.942899256    7.108329640
    0.360000000    6.940204453    6.944910129    7.110378603
    0.370000000    6.942256239    6.946981362    7.112488864
    0.380000000    6.944368044    6.949113282    7.114660735
    0.390000000    6.946540192    6.951306226    7.116894541
    0.400000000    6.948773020    6.953560543    7.119190618
    0.410000000    6.951066876    6.955876596    7.121549311
    0.420000000    6.953422119    6.958254755    7.123970978
    0.430000000    6.955839120    6.960695408    7.126455988
    0.440000000    6.958318262    6.963198952    7.129004724
    0.450000000    6.960859939    6.965765797    7.131617577
    0.460000000    6.963464560    6.968396367    7.134294954
    0.470000000    6.966132544    6.971091100    7.137037273
    0.480000000    6.968864324    6.973850446    7.139844965
    0.490000000    6.971660348    6.976674871    7.142718474
    0.500000000    6.974521075    6.979564853    7.145658258
    0.510000000    6.977446979    6.982520886    7.148664789
    0.520000000    6.980438549    6.985543480    7.151738551
    0.530000000    6.983496287    6.988633158    7.154880045
    0.540000000    6.986620711    6.991790461    7.158089786
    0.550000000    6.989812354    6.995015945    7.161368304
    0.560000000    6.993071765    6.998310183    7.164716143
    0.570000000    6.996399509    7.001673766    7.168133866
    0.580000000    6.999796167    7.005107301    7.171622049
    0.590000000    7.003262338    7.008611414    7.175181287
    0.600000000    7.006798637    7.012186749    7.178812191
    0.610000000    7.010405698    7.015833970    7.182515391
    0.620000000    7.014084173    7.019553759    7.186291534
    0.630000000    7.017834734    7.023346819    7.190141285
    0.640000000    7.021658069    7.027213874    7.194065329
    0.650000000    7.025554890    7.031155671    7.198064371
    0.660000000    7.029525927    7.035172975    7.202139137
    0.670000000    7.033571933    7.039266576    7.206290371
    0.680000000    7.037693681    7.043437290    7.210518841
    0.690000000    7.041891968    7.047685952    7.214825336
    0.700000000    7.046167613    7.052013425    7.219210667
    0.710000000    7.050521460    7.056420598    7.223675672
    0.720000000    7.054954376    7.060908385    7.228221208
    0.730000000    7.059467254    7.065477729    7.232848162
    0.740000000    7.064061015    7.070129600    7.237557443
    0.750000000    7.068736605    7.074864999    7.242349987
    0.760000000    7.073494998    7.079684955    7.247226761
    0.770000000    7.078337198    7.084590530    7.252188756
    0.780000000    7.083264239    7.089582820    7.257236995
    0.790000000    7.088277185    7.094662951    7.262372530
    0.800000000    7.093377131    7.099832086    7.267596444
    0.810000000    7.098565209    7.105091426    7.272909855
    0.820000000    7.103842580    7.110442206    7.278313912
    0.830000000    7.109210444    7.115885702    7.283809800
    0.840000000    7.114670038    7.121423230    7.289398740
    0.850000000    7.120222635    7.127056148    7.295081989
    0.860000000    7.125869550    7.132785858    7.300860845
    0.870000000    7.131612136    7.138613807    7.306736644
    0.880000000    7.137451792    7.144541489    7.312710767
    0.890000000    7.143389959    7.150570447    7.318784633
    0.900000000    7.149428125    7.156702276    7.324959712
    0.910000000    7.155567825    7.162938623    7.331237517
    0.920000000    7.161810645    7.169281191    7.337619610
    0.930000000    7.168158221    7.175731741    7.344107605
    0.940000000    7.174612245    7.182292094    7.350703168
    0.950000000    7.181174464    7.188964134    7.357408020
    0.960000000    7.187846682    7.195749811    7.364223937
    0.970000000    7.194630767    7.202651144    7.371152759
    0.980000000    7.201528649    7.209670221    7.378196384
    0.990000000    7.208542323    7.216809209    7.385356776
    1.000000000    7.215673856    7.224070352    7.392635969
    1.010000000    7.222925385    7.231455974    7.400036064
    1.020000000    7.230299123    7.238968489    7.407559237
    1.030000000    7.237797364    7.246610398    7.415207744
    1.040000000    7.245422483    7.254384300    7.422983917
    1.050000000    7.253176941    7.262292890    7.430890176
    1.060000000    7.261063292    7.270338969    7.438929029
    1.070000000    7.269084183    7.278525449    7.447103075
    1.080000000    7.277242362    7.286855357    7.455415012
    1.090000000    7.285540681    7.295331839    7.463867641
    1.100000000    7.293982102    7.303958173    7.472463868
    1.110000000    7.302569703    7.312737768    7.481206712
    1.120000000    7.311306682    7.321674178    7.490099312
    1.130000000    7.320196368    7.330771107    7.499144930
    1.140000000    7.329242220    7.340032417    7.508346959
    1.150000000    7.338447844    7.349462137    7.517708933
    1.160000000    7.347816990    7.359064474    7.527234528
    1.170000000    7.357353569    7.368843824    7.536927576
    1.180000000    7.367061658    7.378804782    7.546792070
    1.190000000    7.376945511    7.388952151    7.556832176
    1.200000000    7.387009565    7.399290963    7.567052239
    1.210000000    7.397258457    7.409826485    7.577456799
    1.220000000    7.407697032    7.420564238    7.588050597
    1.230000000    7.418330355    7.431510014    7.598838590
    1.240000000    7.429163727    7.442669892    7.609825965
    1.250000000    7.440202699    7.454050256    7.621018150
    1.260000000    7.451453085    7.465657821    7.632420832
    1.270000000    7.462920983    7.477499648    7.644039973
    1.280000000    7.474612791    7.489583176    7.655881828
    1.290000000    7.486535227    7.501916244    7.667952963
    1.300000000    7.498695353    7.514507122    7.680260279
    1.310000000    7.511100594    7.527364542    7.692811029
    1.320000000    7.523758767    7.540497735    7.705612851
    1.330000000    7.536678109    7.553916464    7.718673787
    1.340000000    7.549867305    7.567631073    7.732002318
    1.350000000    7.563335521    7.581652526    7.745607393
    1.360000000    7.577092442    7.595992463    7.759498464
    1.370000000    7.591148312    7.610663252    7.773685526
    1.380000000    7.605513974    7.625678052    7.788179159
    1.390000000    7.620200919    7.641050879    7.802990569
    1.400000000    7.635221340    7.656796686    7.818131649
    1.410000000    7.650588189    7.672931440    7.833615021
    1.420000000    7.666315238    7.689472218    7.849454111
    1.430000000    7.682417152    7.706437311    7.865663207
    1.440000000    7.698909568    7.723846339    7.882257538
    1.450000000    7.715809177    7.741720377    7.899253358
    1.460000000    7.733133824    7.760082103    7.916668037
    1.470000000    7.750902615    7.778955956    7.934520165
    1.480000000    7.769136035    7.798368324    7.952829665
    1.490000000    7.787856083    7.818347745    7.971617923
    1.500000000    7.807086420    7.838925139    7.990907932
    1.510000000    7.826852543    7.860134075    8.010724452
    1.520000000    7.847181969    7.882011069    8.031094191
    1.530000000    7.868104454    7.904595919    8.052046011
    1.540000000    7.889652232    7.927932098    8.073611157
    1.550000000    7.911860294    7.952067197    8.095823519
    1.560000000    7.934766697    7.977053427    8.118719928
    1.570000000    7.958412924    8.002948204    8.142340492
    1.580000000    7.982844285    8.029814817    8.166728982
    1.590000000    8.008110385    8.057723197    8.191933269
    1.600000000    8.034265655    8.086750799    8.218005822
    1.610000000    8.061369959    8.116983624    8.245004289
    1.620000000    8.089489291    8.148517393    8.272992150
    1.630000000    8.118696578    8.181458894    8.302039480
    1.640000000    8.149072591    8.215927526    8.332223818
    1.650000000    8.180706990    8.252057058    8.363631169
    1.660000000    8.213699508    8.289997609    8.396357157
    1.670000000    8.248161281    8.329917841    8.430508345
    1.680000000    8.284216317    8.372007327    8.466203742
    1.690000000    8.322003077    8.416478977    8.503576509
    1.700000000    8.361676105    8.463571325    8.542775866
    1.710000000    8.403407551    8.513550221    8.583969184
    1.720000000    8.447388328    8.566709187    8.627344195
    1.730000000    8.493828372    8.623366992    8.673111194
    1.740000000    8.542955090    8.683859925    8.721504954
    1.750000000    8.595008312    8.748524226    8.772785847
    1.760000000    8.650228719    8.817660558    8.827239250
    1.770000000    8.708834367    8.891465995    8.885171540
    1.780000000    8.770975603    8.969907564    8.946899684
    1.790000000    8.836651195    9.052491224    9.012729039
    1.800000000    8.905555642    9.137846092    9.082909710
    1.810000000    8.976807518    9.222991150    9.157554225
    1.820000000    9.048483424    9.302089771    9.236485732
    1.830000000    9.116873549    9.364495716    9.318962500
    1.840000000    9.175468468    9.392214461    9.403186360
    1.850000000    9.214108464    9.358223098    9.485449722
    1.860000000    9.219766566    9.230253358    9.558735541
    1.870000000    9.181436409    8.987537425    9.610686664
    1.880000000    9.098863892    8.649156009    9.621507645
    1.890000000    8.986206819    8.284624205    9.564348391
    1.900000000    8.862529489    7.976377044    9.414071110
    1.910000000    8.742521975    7.769305227    9.169291881
    1.920000000    8.641820285    7.664045407    8.874491439
    1.930000000    8.580845343    7.641494238    8.607445504
    1.940000000    8.573656283    7.680000330    8.430091927
    1.950000000    8.618724934    7.760016209    8.357346550
    1.960000000    8.703371630    7.865569295    8.369138987
    1.970000000    8.812198294    7.984933466    8.435271934
    1.980000000    8.930905089    8.109924386    8.528677271
    1.990000000    9.045745848    8.234367427    8.627289817
    2.000000000    9.141662058    8.352642368    8.711805236
    2.010000000    9.202189359    8.459143985    8.764977981
    2.020000000    9.214289602    8.549554062    8.776564868
    2.030000000    9.177436161    8.623584718    8.753419673
    2.040000000    9.105512319    8.685279007    8.722776088
    2.050000000    9.010514356    8.737087300    8.716034474
    2.060000000    8.884978962    8.773216571    8.746309910
    2.070000000    8.711354531    8.781503256    8.802687484
    2.080000000    8.492610316    8.751897781    8.858053001
    2.090000000    8.265074542    8.679250954    8.876181284
    2.100000000    8.069113604    8.554883989    8.816662762
    2.110000000    7.912947045    8.363893482    8.647067871
    2.120000000    7.774682597    8.105305811    8.367821037
    2.130000000    7.629514573    7.815006311    8.030442373
    2.140000000    7.468383559    7.553252612    7.714968603
    2.150000000    7.303948871    7.366321745    7.481466262
    2.160000000    7.169111863    7.269515483    7.350179039
    2.170000000    7.098738097    7.256088054    7.313667965
    2.180000000    7.105987424    7.308434320    7.351450810
    2.190000000    7.179861019    7.406017638    7.439850920
    2.200000000    7.299433954    7.531166388    7.558707222
    2.210000000    7.445482871    7.671397747    7.693985942
    2.220000000    7.603911651    7.818861565    7.837211077
    2.230000000    7.764508394    7.968706708    7.983811187
    2.240000000    7.918288201    8.117426763    8.131603242
    2.250000000    8.054692928    8.261452212    8.279712824
    2.260000000    8.159328117    8.396076279    8.427845027
    2.270000000    8.214040700    8.515208146    8.575737599
    2.280000000    8.203278880    8.613175586    8.722632849
    2.290000000    8.129078791    8.689268812    8.866620962
    2.300000000    8.023634989    8.751273106    9.003755444
    2.310000000    7.936747042    8.810477905    9.127059452
    2.320000000    7.902571714    8.870140395    9.226241986
    2.330000000    7.923188514    8.921290547    9.290309705
    2.340000000    7.980458457    8.951289326    9.315601902
    2.350000000    8.053567528    8.955257839    9.315845691
    2.360000000    8.125121461    8.935593230    9.320328712
    2.370000000    8.176414384    8.887126633    9.354433367
    2.380000000    8.183729746    8.788619915    9.423028255
    2.390000000    8.126224907    8.618427642    9.512522351
    2.400000000    8.004644256    8.384067361    9.599801581
    2.410000000    7.855045345    8.136195497    9.653741669
    2.420000000    7.734565797    7.944476723    9.631631754
    2.430000000    7.684638813    7.853041392    9.484180095
    2.440000000    7.711258781    7.861422175    9.181859119
    2.450000000    7.796218035    7.940596514    8.756664147
    2.460000000    7.915153197    8.054323444    8.312869194
    2.470000000    8.045026908    8.167406741    7.966093634
    2.480000000    8.163587343    8.246002140    7.767663486
    2.490000000    8.248811976    8.261420507    7.695423046
    2.500000000    8.282004724    8.201222526    7.694991900
    2.510000000    8.252941600    8.076582647    7.719731754
    2.520000000    8.164569425    7.912316324    7.751210543
    2.530000000    8.037903791    7.733144557    7.796707693
    2.540000000    7.909745101    7.564758114    7.867264883
    2.550000000    7.811280098    7.430706570    7.957345537
    2.560000000    7.744339901    7.333784110    8.042292723
    2.570000000    7.684354017    7.251333233    8.089525298
    2.580000000    7.607893310    7.159863739    8.076744488
    2.590000000    7.518511440    7.064224175    8.011466434
    2.600000000    7.443583164    6.996586957    7.932521253
    2.610000000    7.402847728    6.983773697    7.878996481
    2.620000000    7.386422597    7.023295532    7.855539105
    2.630000000    7.364474854    7.090212138    7.830159744
    2.640000000    7.313942562    7.157383316    7.759404900
    2.650000000    7.240223612    7.210465921    7.622208655
    2.660000000    7.174866334    7.249530958    7.445106231
    2.670000000    7.148691679    7.276541049    7.290701960
    2.680000000    7.168884860    7.281286683    7.210298236
    2.690000000    7.221211539    7.243408332    7.213504387
    2.700000000    7.288275751    7.153717900    7.280995775
