# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    6.736873104    6.736875027    6.902718217
    0.060000000    6.736347335    6.736349248    6.902181464
    0.070000000    6.735753602    6.735755507    6.901575314
    0.080000000    6.735096058    6.735097952    6.900903997
    0.090000000    6.734377562    6.734379445    6.900170431
    0.100000000    6.733600103    6.733601973    6.899376636
    0.110000000    6.732765083    6.732766941    6.898524042
    0.120000000    6.731873524    6.731875368    6.897613682
    0.130000000    6.730926188    6.730928017    6.896646329
    0.140000000    6.729923665    6.729925479    6.895622579
    0.150000000    6.728866431    6.728868228    6.894542908
    0.160000000    6.727754879    6.727756660    6.893407713
    0.170000000    6.726589352    6.726591115    6.892217333
    0.180000000    6.725370152    6.725371897    6.890972071
    0.190000000    6.724097558    6.724099284    6.889672200
    0.200000000    6.722771831    6.722773537    6.888317980
    0.210000000    6.721393221    6.721394907    6.886909655
    0.220000000    6.719961972    6.719963637    6.885447466
    0.230000000    6.718478322    6.718479965    6.883931646
    0.240000000    6.716942509    6.716944131    6.882362429
    0.250000000    6.715354772    6.715356371    6.880740045
    0.260000000    6.713715349    6.713716925    6.879064730
    0.270000000    6.712024481    6.712026034    6.877336719
    0.280000000    6.710282413    6.710283942    6.875556249
    0.290000000    6.708489392    6.708490896    6.873723562
    0.300000000    6.706645670    6.706647148    6.871838903
    0.310000000    6.704751500    6.704752954    6.869902521
    0.320000000    6.702807143    6.702808571    6.867914669
    0.330000000    6.700812862    6.700814264    6.865875603
    0.340000000    6.698768925    6.698770300    6.863785585
    0.350000000    6.696675604    6.696676953    6.861644881
    0.360000000    6.694533175    6.694534497    6.859453760
    0.370000000    6.692341920    6.692343214    6.857212497
    0.380000000    6.690102123    6.690103390    6.854921370
    0.390000000    6.687814074    6.687815313    6.852580662
    0.400000000    6.685478067    6.685479278    6.850190659
    0.410000000    6.683094398    6.683095581    6.847751652
    0.420000000    6.680663370    6.680664525    6.845263937
    0.430000000    6.678185289    6.678186415    6.842727812
    0.440000000    6.675660462    6.675661560    6.840143580
    0.450000000    6.673089205    6.673090274    6.837511547
    0.460000000    6.670471831    6.670472872    6.834832023
    0.470000000    6.667808663    6.667809675    6.832105322
    0.480000000    6.665100023    6.665101006    6.829331761
    0.490000000    6.662346238    6.662347192    6.826511660
    0.500000000    6.659547637    6.659548562    6.823645342
    0.510000000    6.656704553    6.656705449    6.820733134
    0.520000000    6.653817321    6.653818188    6.817775365
    0.530000000    6.650886280    6.650887119    6.814772367
    0.540000000    6.647911771    6.647912580    6.811724476
    0.550000000    6.644894135    6.644894916    6.808632030
    0.560000000    6.641833721    6.641834473    6.805495367
    0.570000000    6.638730874    6.638731598    6.802314830
    0.580000000    6.635585945    6.635586641    6.799090765
    0.590000000    6.632399286    6.632399954    6.795823519
    0.600000000    6.629171252    6.629171891    6.792513438
    0.610000000    6.625902196    6.625902808    6.789160876
    0.620000000    6.622592477    6.622593061    6.785766184
    0.630000000    6.619242453    6.619243010    6.782329716
    0.640000000    6.615852484    6.615853014    6.778851828
    0.650000000    6.612422932    6.612423434    6.775332878
    0.660000000    6.608954158    6.608954634    6.771773224
    0.670000000    6.605446528    6.605446977    6.768173225
    0.680000000    6.601900404    6.601900827    6.764533243
    0.690000000    6.598316152    6.598316550    6.760853640
    0.700000000    6.594694139    6.594694511    6.757134778
    0.710000000    6.591034731    6.591035077    6.753377020
    0.720000000    6.587338294    6.587338615    6.749580733
    0.730000000    6.583605196    6.583605493    6.745746279
    0.740000000    6.579835806    6.579836078    6.741874026
    0.750000000    6.576030491    6.576030738    6.737964338
    0.760000000    6.572189618    6.572189842    6.734017581
    0.770000000    6.568313557    6.568313757    6.730034123
    0.780000000    6.564402674    6.564402851    6.726014330
    0.790000000    6.560457339    6.560457493    6.721958568
    0.800000000    6.556477917    6.556478048    6.717867203
    0.810000000    6.552464777    6.552464886    6.713740603
    0.820000000    6.548418284    6.548418372    6.709579133
    0.830000000    6.544338806    6.544338871    6.705383158
    0.840000000    6.540226707    6.540226751    6.701153045
    0.850000000    6.536082352    6.536082376    6.696889158
    0.860000000    6.531906105    6.531906108    6.692591862
    0.870000000    6.527698330    6.527698313    6.688261520
    0.880000000    6.523459388    6.523459351    6.683898496
    0.890000000    6.519189640    6.519189584    6.679503152
    0.900000000    6.514889448    6.514889373    6.675075848
    0.910000000    6.510559169    6.510559075    6.670616946
    0.920000000    6.506199162    6.506199050    6.666126806
    0.930000000    6.501809782    6.501809652    6.661605785
    0.940000000    6.497391386    6.497391239    6.657054241
    0.950000000    6.492944327    6.492944162    6.652472530
    0.960000000    6.488468957    6.488468775    6.647861008
    0.970000000    6.483965628    6.483965429    6.643220028
    0.980000000    6.479434687    6.479434472    6.638549941
    0.990000000    6.474876484    6.474876253    6.633851100
    1.000000000    6.470291363    6.470291117    6.629123854
    1.010000000    6.465679670    6.465679408    6.624368551
    1.020000000    6.461041746    6.461041470    6.619585536
    1.030000000    6.456377933    6.456377642    6.614775156
    1.040000000    6.451688569    6.451688264    6.609937753
    1.050000000    6.446973991    6.446973673    6.605073669
    1.060000000    6.442234534    6.442234203    6.600183243
    1.070000000    6.437470532    6.437470188    6.595266814
    1.080000000    6.432682316    6.432681958    6.590324718
    1.090000000    6.427870214    6.427869844    6.585357290
    1.100000000    6.423034553    6.423034171    6.580364861
    1.110000000    6.418175659    6.418175265    6.575347763
    1.120000000    6.413293854    6.413293449    6.570306324
    1.130000000    6.408389459    6.408389042    6.565240871
    1.140000000    6.403462792    6.403462364    6.560151728
    1.150000000    6.398514170    6.398513731    6.555039219
    1.160000000    6.393543906    6.393543457    6.549903664
    1.170000000    6.388552312    6.388551854    6.544745381
    1.180000000    6.383539699    6.383539230    6.539564687
    1.190000000    6.378506372    6.378505894    6.534361896
    1.200000000    6.373452637    6.373452150    6.529137320
    1.210000000    6.368378796    6.368378300    6.523891270
    1.220000000    6.363285151    6.363284646    6.518624053
    1.230000000    6.358171997    6.358171484    6.513335974
    1.240000000    6.353039632    6.353039111    6.508027338
    1.250000000    6.347888348    6.347887819    6.502698445
    1.260000000    6.342718437    6.342717900    6.497349594
    1.270000000    6.337530186    6.337529641    6.491981083
    1.280000000    6.332323881    6.332323329    6.486593204
    1.290000000    6.327099806    6.327099248    6.481186251
    1.300000000    6.321858243    6.321857678    6.475760512
    1.310000000    6.316599469    6.316598898    6.470316277
    1.320000000    6.311323762    6.311323184    6.464853829
    1.330000000    6.306031395    6.306030811    6.459373451
    1.340000000    6.300722639    6.300722050    6.453875426
    1.350000000    6.295397765    6.295397170    6.448360029
    1.360000000    6.290057037    6.290056437    6.442827538
    1.370000000    6.284700722    6.284700116    6.437278226
    1.380000000    6.279329079    6.279328468    6.431712364
    1.390000000    6.273942369    6.273941754    6.426130222
    1.400000000    6.268540849    6.268540229    6.420532065
    1.410000000    6.263124773    6.263124148    6.414918158
    1.420000000    6.257694393    6.257693764    6.409288763
    1.430000000    6.252249959    6.252249326    6.403644140
    1.440000000    6.246791718    6.246791082    6.397984546
    1.450000000    6.241319916    6.241319275    6.392310236
    1.460000000    6.235834794    6.235834150    6.386621462
    1.470000000    6.230336593    6.230335945    6.380918474
    1.480000000    6.224825550    6.224824900    6.375201522
    1.490000000    6.219301901    6.219301248    6.369470850
    1.500000000    6.213765880    6.213765223    6.363726702
    1.510000000    6.208217716    6.208217057    6.357969319
    1.520000000    6.202657638    6.202656976    6.352198940
    1.530000000    6.197085873    6.197085208    6.346415801
    1.540000000    6.191502643    6.191501976    6.340620137
    1.550000000    6.185908171    6.185907502    6.334812180
    1.560000000    6.180302675    6.180302004    6.328992160
    1.570000000    6.174686373    6.174685700    6.323160304
    1.580000000    6.169059478    6.169058803    6.317316837
    1.590000000    6.163422205    6.163421528    6.311461983
    1.600000000    6.157774761    6.157774083    6.305595962
    1.610000000    6.152117357    6.152116677    6.299718993
    1.620000000    6.146450196    6.146449515    6.293831294
    1.630000000    6.140773483    6.140772801    6.287933077
    1.640000000    6.135087420    6.135086736    6.282024555
    1.650000000    6.129392204    6.129391519    6.276105939
    1.660000000    6.123688034    6.123687348    6.270177436
    1.670000000    6.117975104    6.117974417    6.264239252
    1.680000000    6.112253607    6.112252920    6.258291591
    1.690000000    6.106523734    6.106523045    6.252334653
    1.700000000    6.100785673    6.100784984    6.246368640
    1.710000000    6.095039610    6.095038921    6.240393747
    1.720000000    6.089285731    6.089285041    6.234410171
    1.730000000    6.083524217    6.083523527    6.228418105
    1.740000000    6.077755250    6.077754559    6.222417740
    1.750000000    6.071979006    6.071978316    6.216409265
    1.760000000    6.066195664    6.066194973    6.210392867
    1.770000000    6.060405397    6.060404706    6.204368733
    1.780000000    6.054608377    6.054607686    6.198337045
    1.790000000    6.048804776    6.048804085    6.192297984
