# energy grid [eV]  eels components [arbitrary units]
#
    0.050000000    0.000028836    0.000029045    0.000028211
    0.060000000    0.000034609    0.000034860    0.000033859
    0.070000000    0.000040385    0.000040679    0.000039510
    0.080000000    0.000046165    0.000046501    0.000045164
    0.090000000    0.000051949    0.000052328    0.000050822
    0.100000000    0.000057738    0.000058160    0.000056485
    0.110000000    0.000063533    0.000063998    0.000062152
    0.120000000    0.000069334    0.000069842    0.000067825
    0.130000000    0.000075141    0.000075692    0.000073505
    0.140000000    0.000080955    0.000081550    0.000079190
    0.150000000    0.000086777    0.000087416    0.000084883
    0.160000000    0.000092607    0.000093291    0.000090583
    0.170000000    0.000098446    0.000099174    0.000096291
    0.180000000    0.000104294    0.000105068    0.000102008
    0.190000000    0.000110152    0.000110971    0.000107734
    0.200000000    0.000116021    0.000116886    0.000113470
    0.210000000    0.000121901    0.000122812    0.000119216
    0.220000000    0.000127792    0.000128750    0.000124973
    0.230000000    0.000133696    0.000134702    0.000130741
    0.240000000    0.000139613    0.000140666    0.000136521
    0.250000000    0.000145543    0.000146645    0.000142314
    0.260000000    0.000151488    0.000152638    0.000148119
    0.270000000    0.000157447    0.000158647    0.000153938
    0.280000000    0.000163422    0.000164672    0.000159771
    0.290000000    0.000169413    0.000170714    0.000165620
    0.300000000    0.000175421    0.000176773    0.000171483
    0.310000000    0.000181446    0.000182851    0.000177363
    0.320000000    0.000187489    0.000188947    0.000183259
    0.330000000    0.000193551    0.000195063    0.000189172
    0.340000000    0.000199633    0.000201199    0.000195103
    0.350000000    0.000205734    0.000207356    0.000201053
    0.360000000    0.000211857    0.000213535    0.000207022
    0.370000000    0.000218001    0.000219737    0.000213011
    0.380000000    0.000224168    0.000225962    0.000219021
    0.390000000    0.000230358    0.000232211    0.000225051
    0.400000000    0.000236572    0.000238486    0.000231104
    0.410000000    0.000242810    0.000244786    0.000237179
    0.420000000    0.000249074    0.000251112    0.000243278
    0.430000000    0.000255365    0.000257467    0.000249401
    0.440000000    0.000261682    0.000263850    0.000255549
    0.450000000    0.000268028    0.000270262    0.000261723
    0.460000000    0.000274403    0.000276704    0.000267923
    0.470000000    0.000280807    0.000283178    0.000274150
    0.480000000    0.000287242    0.000289683    0.000280405
    0.490000000    0.000293709    0.000296222    0.000286690
    0.500000000    0.000300209    0.000302796    0.000293004
    0.510000000    0.000306742    0.000309404    0.000299349
    0.520000000    0.000313309    0.000316048    0.000305726
    0.530000000    0.000319912    0.000322730    0.000312135
    0.540000000    0.000326552    0.000329451    0.000318577
    0.550000000    0.000333230    0.000336211    0.000325054
    0.560000000    0.000339946    0.000343011    0.000331566
    0.570000000    0.000346702    0.000349854    0.000338115
    0.580000000    0.000353499    0.000356740    0.000344702
    0.590000000    0.000360339    0.000363670    0.000351326
    0.600000000    0.000367222    0.000370646    0.000357991
    0.610000000    0.000374149    0.000377669    0.000364696
    0.620000000    0.000381123    0.000384741    0.000371443
    0.630000000    0.000388143    0.000391863    0.000378233
    0.640000000    0.000395213    0.000399035    0.000385067
    0.650000000    0.000402332    0.000406261    0.000391947
    0.660000000    0.000409503    0.000413541    0.000398874
    0.670000000    0.000416727    0.000420877    0.000405848
    0.680000000    0.000424005    0.000428270    0.000412873
    0.690000000    0.000431339    0.000435723    0.000419948
    0.700000000    0.000438730    0.000443237    0.000427075
    0.710000000    0.000446181    0.000450813    0.000434256
    0.720000000    0.000453693    0.000458455    0.000441492
    0.730000000    0.000461267    0.000466162    0.000448786
    0.740000000    0.000468906    0.000473939    0.000456137
    0.750000000    0.000476611    0.000481785    0.000463549
